run,time,nnz,rmse
42,920.0026207,4206931,1.94726591
42,930.0030246,4218634,1.946341345
42,940.0010386,4239297,1.944425033
42,950.0004947,4263014,1.942222021
42,960.0018404,4278947,1.941168655
42,970.0033941,4303755,1.939220191
42,980.0024948,4327400,1.937141294
42,990.0014193,4347040,1.935640622
42,1000.001306,4359084,1.934803223
42,1010.001728,4368755,1.934471816
42,1020.001988,4391288,1.932644734
42,1030.001623,4408852,1.931723217
42,1040.002562,4418129,1.931164905
42,1050.003319,4433292,1.93023218
42,1060.000553,4449534,1.929043409
42,1070.005547,4456148,1.929022635
42,1080.000978,4468839,1.928338387
42,1090.000107,4486969,1.927151255
42,1100.003393,4496917,1.926839879
42,1110.000679,4509506,1.926319235
42,1120.000183,4517247,1.926178285
42,1130.003431,4528798,1.925651432
42,1140.001097,4542601,1.924637616
42,1150.001012,4551936,1.924261138
42,1160.001714,4566293,1.923199515
42,1170.001975,4574797,1.922858188
42,1180.00089,4581776,1.92265812
42,1190.004628,4593981,1.921638984
42,1200.000982,4594732,1.92174626
43,10.0026319,532102,2.607140033
43,20.00188994,778217,2.611684985
43,30.0020802,899252,2.611070302
43,40.00370908,952306,2.616745433
43,50.00036311,952306,2.616745433
43,60.00072551,952306,2.616745433
43,70.00024271,952306,2.616745433
43,80.00011683,952306,2.616745433
43,90.001724,952306,2.616745433
43,100.0023453,952306,2.616745433
43,110.002362,956149,2.619296259
43,120.0003231,961539,2.622039928
43,130.0024321,967257,2.622808202
43,140.001893,979128,2.622404486
43,150.0008419,984122,2.622700477
43,160.0030923,987088,2.623465367
43,170.0028737,991960,2.624310014
43,180.002701,996213,2.624710702
43,190.0033257,1006294,2.624715684
43,200.0036409,1018666,2.625211809
43,210.0023942,1025735,2.625734616
43,220.0021226,1034412,2.626942706
43,230.0014493,1048584,2.628136935
43,240.0009716,1056753,2.628367704
43,250.0009425,1068268,2.628222652
43,260.0038552,1072687,2.628913443
43,270.0019081,1078547,2.630051644
43,280.0033009,1084843,2.630485113
43,290.002115,1093875,2.63084824
43,300.0022256,1101748,2.631527996
43,310.0029171,1106713,2.631892799
43,320.002099,1110670,2.632351322
43,330.0008767,1118632,2.632754487
43,340.0001178,1124907,2.63354542
43,350.0012259,1128891,2.634397887
43,360.0049181,1136038,2.635312394
43,370.0034168,1142223,2.63650501
43,380.000052,1148706,2.637307147
43,390.0009353,1154019,2.637988959
43,400.0019352,1160726,2.639467156
43,410.0034039,1164405,2.640050477
43,420.0026929,1170663,2.640893268
43,430.0006397,1176001,2.642155761
43,440.0016787,1180728,2.642888795
43,450.0005622,1185717,2.643163644
43,460.0002885,1192059,2.644153249
43,470.0027385,1196169,2.644952248
43,480.0018506,1200481,2.645758232
43,490.0003474,1201402,2.645900628
43,500.0018258,1206987,2.646490445
43,510.0037208,1207477,2.646571916
43,520.0001929,1208963,2.647139535
43,530.0011327,1210152,2.647421184
43,540.0032465,1212547,2.647696776
43,550.0012434,1215813,2.647905202
43,560.0006878,1217256,2.648301464
43,570.0002525,1219060,2.6489208
43,580.0014353,1220935,2.649415697
43,590.0022173,1221593,2.64966795
43,600.0004966,1222761,2.649934313
43,610.0018706,1224067,2.650150186
43,620.0014915,1224472,2.650239545
43,630.0027654,1225503,2.6505056
43,640.0001116,1226954,2.650972101
43,650.0033245,1228603,2.651451682
43,660.0027559,1230785,2.652129249
43,670.0009882,1233079,2.652908396
43,680.0029025,1235264,2.653466958
43,690.0009017,1236638,2.653916858
43,700.0026746,1237877,2.654211082
43,710.0024252,1239732,2.654877526
43,720.0018697,1241039,2.655288651
43,730.0003955,1241689,2.655444742
43,740.0001442,1242931,2.655751749
43,750.0024011,1243940,2.656000401
43,760.0001469,1244903,2.656255595
43,770.0004358,1245744,2.656455189
43,780.0026693,1246699,2.656767026
43,790.0021212,1247361,2.656889307
43,800.0020845,1247669,2.656928
43,810.0018923,1248286,2.657074691
43,820.0020003,1248554,2.657107618
43,830.0026896,1248648,2.657117668
43,840.0004547,1682419,2.441001175
43,850.0020275,1969188,2.359565798
43,860.0016704,2091721,2.336171488
43,870.0014882,2134870,2.329896124
43,880.0020585,2134870,2.329896124
43,890.0004599,2134870,2.329896124
43,900.0014937,2134870,2.329896124
43,910.0010221,2134870,2.329896124
43,920.0026417,2134870,2.329896124
43,930.0013492,2136687,2.330594061
43,940.0019948,2143598,2.331642837
43,950.0021217,2148566,2.330778563
43,960.0019317,2161721,2.328189542
43,970.0000913,2166045,2.327466434
43,980.000319,2170246,2.327094354
43,990.0012529,2174991,2.326494868
43,1000.000776,2181732,2.325624857
43,1010.000382,2191474,2.323645402
43,1020.002464,2202411,2.321367779
43,1030.001653,2212411,2.320104634
43,1040.002385,2225167,2.318212706
43,1050.001842,2233047,2.317392587
43,1060.002645,2246047,2.314765002
43,1070.002647,2250810,2.314379315
43,1080.001941,2255883,2.314089007
43,1090.00281,2264042,2.312701471
43,1100.001976,2272454,2.311885986
43,1110.000331,2280334,2.311047857
43,1120.002818,2283751,2.310623651
43,1130.000826,2291542,2.309573608
43,1140.001658,2298640,2.308736287
43,1150.001973,2302616,2.308619939
43,1160.002928,2309792,2.307811329
43,1170.003104,2315816,2.307496179
43,1180.001556,2322485,2.306690242
43,1190.003286,2327532,2.306345931
43,1200.00187,2334298,2.305718468
44,10.00120425,257564,2.955683313
44,20.00004697,382614,2.963182826
44,30.00059128,440591,2.960400799
